mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType
453,Cala Reona,,Hispania Tarraconensis,Spain,Murcia,Cartagena-Mazarrón,,,MU 7,978,862,339.9,37.61551691,-0.718976529,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
454,Calamón,,Hispania Baetica,Spain,Córdoba,Posadas,,,CO 82,922,477.5,362.2,37.84722783,-5.08044861,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
455,Callejón de Matajaca,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 88,859,499.6,420.7,38.37739882,-4.83783744,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 48,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
456,Campanario,,Hispania Baetica,Spain,Huelva,Huelva,,,H 45,960,322.5,332.4,37.54317278,-6.82941041,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pyrite,Primary,
457,Campo Antigua,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-64,,,,,43.337309,-6.709717,500,"Guessed from Sanchez-Palencia and Orejas 1994, fig. 13; and Google Earth.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,,Primary,Extensive
458,Campo la Peral,,Hispania Tarraconensis,Spain,León,Cuenca del Boeza,,BO-22,,,,,42.56722,-6.258764,500,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 14, IGN map, and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 191",TRUE,FALSE,TRUE,,,,,,,,,Primary,Extensive
459,Camporredondo,,Hispania Tarraconensis,Spain,Palencia,León,,,P 1,106,513,921,42.88780177,-4.752831906,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 42,,,,,,,,,,,Quaternary terrace,,
460,Canadá,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 18,858,492.8,420.7,38.37658115,-4.91570948,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,
461,Cancho Blanco,,Hispania Baetica,Spain,Badajoz,La Serena,,,BA 50,831,414.8,451.3,38.63919229,-5.81715282,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
462,Candelaria,,Hispania Tarraconensis,Spain,Ciudad Real,Alcudia,,,CR 16,835,527.6,449.9,38.64346632,-4.5202936,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
463,Candín I,,Hispania Tarraconensis,Spain,León,Cuencas de Cúa y Burbia,,CB-05,,,,,42.817285,-6.760416,1000,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 14, and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 191",,,,,,,,,,,,Primary,Extensive
464,Candín II,,Hispania Tarraconensis,Spain,León,Cuencas de Cúa y Burbia,,CB-06,,,,,42.808749,-6.769527,1000,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 14, and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 191",,,,,,,,,,,,Primary,Extensive
465,Cantos Blancos,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 5,858,489.7,424.4,38.40954651,-4.95181017,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,
466,Cara de Oso,,Hispania Tarraconensis,Spain,León,Cuenca del Eria,,ER-11,,,,,42.250813,-6.316238,300,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 17 and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 193",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Secondary,Selective
467,Carbueiro,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-24,,,,,43.026133,-6.869433,500,"Google Earth, IGN map, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective - Extensive
468,Carcabón de Orúa,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-41,O 4,50,355.3,964.9,43.25032292,-6.700265757,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Domergue 1990: 42; Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,Hard rock,Primary,Selective - Extensive
469,Carcabonas de Merás,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Esba o Canero,,ES-09,,,,,43.473629,-6.474357,3000,Placename Meras on Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 194",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Extensive
470,Cárcobas de Miudes,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Porcia,,PO-17,,,,,43.523363,-6.809106,1000,"Guessed after Sanchez-Palencia and Orejas 1994, fig. 13; and Google Earth.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 201",,,,,,,,,,,,Primary,Selective - Extensive
471,Cárcobas de Pena,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Porcia,,PO-09,,,,,43.489375,-6.815335,1000,Guessed from Sanchez Palencia and Orejas 1994: fig. 13 in relation to other sites.,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 201",,,,,,,,,,,,Primary,Selective - Extensive
472,Carmelita,,Hispania Baetica,Spain,Badajoz,Azuaga-Fuenteovejuna,,,BA 5,878,419.5,408.6,38.25530611,-5.75177293,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,
473,"Carmino del Palo (I, II) - Arroyo del Cabrito (I, II, III)",,Hispania Tarraconensis,Spain,León,Sierra del Teleno,,TE-03,,,,,42.385861,-6.388739,500,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 17, IGN map, and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 201",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective - Extensive
474,Carris,,Hispania Tarraconensis,Spain,Lugo,Cuenca del Masma,,,LU 6,6,306.8,1000.2,43.55140204,-7.314383074,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 40,,,,,,,,,,,Hard rock,,
475,Carrua de la Rata - El Lago,,Hispania Tarraconensis,Spain,León,Cuencas de Cúa y Burbia,,CB-35,LE 56,,,,42.551531,-6.781019,100,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 14, IGN map, and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 192",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Extensive
476,Casa de las Grobas I,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-60,,,,,43.147794,-6.801395,1000,"Placename, IGN map, Google Earth, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,,Primary,Extensive
477,Casa de las Grobas II,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-59,,,,,43.143913,-6.803618,1000,"Placename, IGN map, Google Earth, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,,Primary,Extensive
478,Casales,,Hispania Tarraconensis,Spain,León,Cuenca media del Sil,,MS-071,,,,,42.41467,-6.673559,500,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 16",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 196",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective
479,Casilla del Cobre,,Hispania Baetica,Spain,Córdoba,Córdoba,,,CO 40,923,498,368,37.90215104,-4.84830355,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
480,Castañedo,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,NA-54,,,,,43.359767,-6.230038,3000,Guessed from placename on Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 198",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective - Extensive
481,Castellar,,Hispania Tarraconensis,Spain,Ciudad Real,Alcudia,,,CR 1,809,535.2,469.1,38.81718902,-4.43477306,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,,,,,,,,,,,,,
482,Castillo Buitrón,,Hispania Baetica,Spain,Huelva,Huelva,,,H 47,960,328.1,342.4,37.63500856,-6.76997865,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pyrite,Primary,
483,Castillo de las Guardas,,Hispania Baetica,Spain,Huelva,Huelva,,,SE 4,939,363.7,348,37.69582718,-6.368615491,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pyrite,Primary,
484,Castripicón,,Hispania Baetica,Spain,Córdoba,Córdoba,,,CO 43,922,490.6,374.4,37.95893796,-4.9334936,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
486,Castro del Río,,Hispania Tarraconensis,Spain,León,Cuenca del Boeza,,BO-07,,,,,42.71996123,-6.408303869,20,https://servicios.jcyl.es/pweb/datosYacimiento.do?numero=102282&tipo=yacimiento&ruta=,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Castro adjacent to mine,"Sanchez-Palencia and Orejas 1994, 190",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Extensive
487,Castropetre,,Hispania Tarraconensis,Spain,León,Cuenca media del Sil,,MS-053,,,,,42.534458,-6.932606,200,"Google Earth, placename","IGN map shows ""Mina de El Riego - abandonada""",,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 196",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective - Extensive
488,Castropodame / Los Valles - Las Gándaras,,Hispania Tarraconensis,Spain,León,Cuenca del Boeza,,BO-29,LE 11,159,371.5,888.8,42.572454,-6.46915,0,"Converted in QGIS from Lambert coords, Madrid 1870; adjusted with reference to Google Earth and site visit 27/09/2021.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Domergue 1990: 43; Sanchez-Palencia and Orejas 1994, 191",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Alterites, tertiary deposits, and terrace",Secondary,Extensive
489,Cavón del Pozo - Muro de la T.,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,AO-26,,,,,42.782281,-5.687959,1000,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 15, and features on Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 189",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Extensive
490,Cecos I,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-20,,,,,43.019984,-6.855363,500,"Guessed in relation to Villarcebollín and other Cecos sites from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Extensive
491,Cecos II,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-15,,,,,43.028404,-6.857919,500,"Guessed in relation to Villarcebollín and other Cecos sites from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Selective
492,Cecos III,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-14,,,,,43.036072,-6.856443,1000,"Guessed in relation to Villarcebollín and other Cecos sites from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive
493,Cecos IV,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-13,,,,,43.025647,-6.853488,1000,"Guessed in relation to Villarcebollín and other Cecos sites from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive
494,Cecos V,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-12,,,,,43.034238,-6.846678,1000,"Guessed in relation to Villarcebollín and other Cecos sites from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive
495,Cecos VI,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-11,,,,,43.023443,-6.851769,1000,"Guessed in relation to Villarcebollín from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive
496,Cerdanya - All Guilleteres sector 1 NE - 1,,Hispania Tarraconensis,Spain,Gerona,Pyrenees,,,,,,,42.39786735,1.820130111,0,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hydraulic opencast mining visible on Google Earth,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
497,Cerdanya - All Guilleteres sector 1 NE - 2,,Hispania Tarraconensis,Spain,Gerona,Pyrenees,,,,,,,42.39853497,1.826364395,0,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
498,Cerdanya - All Guilleteres sector 1 NE - 3,,Hispania Tarraconensis,Spain,Gerona,Pyrenees,,,,,,,42.39639938,1.82934192,0,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
499,Cerdanya - All Guilleteres sector 1 NE - 4,,Hispania Tarraconensis,Spain,Gerona,Pyrenees,,,,,,,42.40234069,1.833771284,0,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
500,Cerdanya - All Guilleteres sector 1 NE - new?,,Hispania Tarraconensis,Spain,Gerona,Pyrenees,,,,,,,42.4029556,1.815050524,0,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
501,Cerro Castaño,,Hispania Baetica,Spain,Córdoba,Posadas,,,CO 120,922,477.3,372,37.93552871,-5.08446693,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
502,Cerro de la Mina,,Hispania Baetica,Spain,Badajoz,,,,BA 60,829,354.4,449.3,38.60604095,-6.51042667,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 48,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
503,Cerro de la Mina,,Hispania Tarraconensis,Spain,Cuenca,,,,CU 2,665,802.4,584,39.83148876,-1.32055691,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
504,Cerro de la Minas,,Hispania Baetica,Spain,Badajoz,Picos de Aroche,,,BA 53,875,328.5,419,38.32523434,-6.79570879,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
505,Cerro de la Minillas,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 61,858,481.2,425.2,38.41563006,-5.04933271,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 48,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
506,Cerro de la Orden,,Hispania Baetica,Spain,Badajoz,Azuaga-Fuenteovejuna,,,BA 27,878,415.4,414.3,38.30581558,-5.80017903,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 46,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,
507,Cerro de las Cruces,,Hispania Baetica,Spain,Badajoz,La Serena,,,BA 51,830,392.3,441.8,38.54842637,-6.07279323,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
508,Cerro de las Minillas,,Hispania Baetica,Spain,Córdoba,Montoro Andújar,,,CO 30,882,547.7,415.4,38.33386997,-4.28655637,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,,
509,Cerro de los Almadenes,,Hispania Tarraconensis,Spain,Segovia,,,,SG 1,507,554.7,690.6,40.81562208,-4.22543114,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
510,Cerro de los Venados,,Hispania Baetica,Spain,Jaén,Montoro Andújar,,,J 2,883,556.3,406.4,38.25320766,-4.18754703,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,,
511,Cerro de Valfrío,,Hispania Baetica,Spain,Córdoba,Córdoba,,,CO 116,902,498.4,382.5,38.03289831,-4.84589638,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,,
512,Cerro del Conjuro,,Hispania Baetica,Spain,Granada,Almería,,,GR 1,1042,636.3,259.8,36.93229745,-3.28059057,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
513,Cerro del Cuerno,,Hispania Tarraconensis,Spain,León,Cuencas del Turienzo y Jerega,,TJ-26,,,,,42.493513,-6.248132,500,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 17 and Google Earth",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 202",TRUE,FALSE,TRUE,,,,,,,,,Secondary,Selective
514,Cerro del Cura,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 37,860,528.8,425.4,38.42267476,-4.50392006,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 48,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,
515,Cerro del Esparto,,Hispania Baetica,Spain,Córdoba,Posadas,,,CO 71,921,462.5,370,37.9152865,-5.25248305,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
516,Cerro del Hierro,,Hispania Baetica,Spain,Sevilla,Sevilla,,,SE 6,920,430.8,274.4,37.04831911,-5.589874277,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Domergue 1990: 48,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
517,Cerro Minado,,Hispania Baetica,Spain,Almería,Almería,,,AL 6,996,754,309.3,37.36552808,-1.94916604,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
518,Cerro Muriano,,Hispania Baetica,Spain,Córdoba,Córdoba,,,CO 39,902,504.2,379.3,38.00471301,-4.77935278,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 47,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
